T1,T2,T3,T4,T5,AVGND
2.8,2.8,1.9,5.5,6.4,LOW
5.23,6.4,5.23,9.1,10,AVERAGE
6.67,1,4.33,10,9.28,AVERAGE
5.23,1.63,9.1,10,10,AVERAGE
8.2,7.57,10,9.1,10,HIGH
3.43,8.2,10,3.7,5.5,AVERAGE
6.4,8.2,5.23,7.3,6.4,AVERAGE
7.03,6.4,8.83,4.24,3.07,AVERAGE
4.6,5.5,5.5,6.4,4.6,AVERAGE
1.9,7.3,10,10,5.5,AVERAGE
7.03,10,4.6,8.2,2.8,AVERAGE
4.6,8.2,6.4,4.6,5.23,AVERAGE
5.5,6.13,4.6,8.2,3.7,AVERAGE
6.4,6.4,8.2,7.03,8.2,HIGH
5.5,3.7,5.5,5.5,3.25,LOW
3.07,2.8,3.7,2.8,1,LOW
3.7,8.83,4.78,4.6,2.8,LOW
4.6,7.03,5.5,7.3,4.6,AVERAGE
8.2,6.4,10,10,4.6,HIGH
6.4,6.13,10,10,10,HIGH
3.07,3.7,1.9,4.6,2.8,LOW
7.3,6.4,10,10,6.4,HIGH
5.5,6.4,4.6,3.97,4.6,AVERAGE
4.6,2.8,4.6,4.6,6.4,LOW
10,10,7.75,10,7.75,HIGH
5.23,5.5,3.25,1,4.42,LOW
8.92,10,8.92,10,10,HIGH
4.6,7.75,10,10,9.1,HIGH
3.25,3.25,7.75,8.92,7.75,AVERAGE
7.75,5.5,4.42,8.92,7.3,AVERAGE
10,8.92,7.75,7.75,7.75,HIGH
4.33,4.87,10,5.5,3.25,AVERAGE
3.25,4.42,10,4.42,7.75,AVERAGE
3.25,4.42,10,8.92,10,HIGH
6.67,7.75,9.28,8.92,7.75,HIGH
2.8,5.5,4.42,8.92,8.92,AVERAGE
4.42,8.92,8.92,8.92,9.1,HIGH
5.5,5.5,2.17,5.5,7.75,AVERAGE
5.5,4.42,5.5,5.5,5.5,AVERAGE
3.7,1.63,3.7,5.5,4.42,LOW
5.5,4.42,6.4,7.75,3.25,AVERAGE
4.42,5.5,5.86,3.25,8.92,AVERAGE
6.67,5.5,3.25,4.42,5.5,AVERAGE
8.83,10,5.5,3.25,6.67,AVERAGE
2.8,10,8.92,10,10,HIGH
2.53,8.92,10,8.92,10,HIGH
8.92,5.5,4.42,6.67,4.42,AVERAGE
4.42,6.67,3.25,7.75,3.61,AVERAGE
7.75,10,10,10,10,HIGH
6.67,6.67,5.5,5.5,6.67,AVERAGE
3.25,7.75,6.67,6.67,5.5,AVERAGE
6.67,6.67,7.75,5.5,4.6,AVERAGE
3.7,7.75,8.92,8.92,6.67,AVERAGE
5.5,4.42,8.92,6.67,6.67,AVERAGE
3.25,4.42,7.75,7.75,7.75,AVERAGE
9.1,9.1,7.75,4.42,7.75,HIGH
6.67,4.42,7.75,5.5,7.75,AVERAGE
3.07,10,10,10,10,HIGH
5.5,10,10,10,8.2,HIGH
4.42,3.61,4.42,5.5,3.25,LOW
4.42,5.5,4.42,8.92,8.92,AVERAGE
5.5,6.67,2.53,4.42,5.5,LOW
8.92,7.75,8.92,9.1,7.75,HIGH
2.89,4.42,7.75,7.75,7.75,AVERAGE
4.6,4.42,6.67,7.75,7.75,AVERAGE
3.25,5.5,3.61,5.5,6.67,LOW
2.17,4.42,6.67,4.42,4.42,LOW
10,8.2,8.2,10,2.17,HIGH
6.67,5.5,5.5,6.67,4.42,AVERAGE
2.17,6.67,6.67,3.25,3.25,LOW
3.25,3.7,1,4.42,3.25,LOW
6.67,5.5,6.67,5.5,4.42,AVERAGE
5.5,1,4.42,5.5,4.42,LOW
5.5,5.5,6.67,7.3,7.75,AVERAGE
4.42,2.8,4.78,3.25,5.5,LOW
4.42,4.6,5.5,3.25,4.42,LOW
5.23,8.2,3.97,6.67,6.67,AVERAGE
6.4,10,6.67,7.75,7.75,HIGH
6.67,6.67,8.92,8.92,8.92,HIGH
5.5,4.42,3.25,4.42,3.25,LOW
4.33,2.53,4.42,5.5,4.42,LOW
4.42,4.42,2.17,7.75,7.75,AVERAGE
5.5,4.42,7.75,10,8.92,HIGH
6.67,3.25,6.67,6.67,4.42,AVERAGE
1,4.42,2.17,7.75,7.75,LOW
10,7.75,9.1,10,7.75,HIGH
10,10,10,7.75,5.5,HIGH
2.17,1,5.5,4.42,6.67,LOW
5.5,1,4.42,4.42,4.42,LOW
4.42,3.7,7.3,8.92,7.75,AVERAGE
5.5,10,6.67,9.28,7.75,HIGH
5.5,6.67,6.67,8.92,6.67,AVERAGE
4.42,7.75,8.92,7.75,10,HIGH
6.4,10,6.67,6.67,8.92,HIGH
5.5,5.5,5.5,4.42,8.92,AVERAGE
3.25,3.25,6.67,7.75,8.92,AVERAGE
6.67,5.5,7.75,5.5,5.5,AVERAGE
5.5,6.4,4.42,3.25,3.25,LOW
6.67,2.17,3.25,5.5,4.42,LOW
5.5,6.67,3.25,5.5,6.67,AVERAGE
3.25,4.78,4.42,3.25,4.42,LOW
4.42,3.25,7.03,3.25,4.42,LOW
