T5,AVGND
6.4,LOW
10,AVERAGE
9.28,AVERAGE
10,AVERAGE
10,HIGH
5.5,AVERAGE
6.4,AVERAGE
3.07,AVERAGE
4.6,AVERAGE
5.5,AVERAGE
2.8,AVERAGE
5.23,AVERAGE
3.7,AVERAGE
8.2,HIGH
3.25,LOW
1,LOW
2.8,LOW
4.6,AVERAGE
4.6,HIGH
10,HIGH
2.8,LOW
6.4,HIGH
4.6,AVERAGE
6.4,LOW
7.75,HIGH
4.42,LOW
10,HIGH
9.1,HIGH
7.75,AVERAGE
7.3,AVERAGE
7.75,HIGH
3.25,AVERAGE
7.75,AVERAGE
10,HIGH
7.75,HIGH
8.92,AVERAGE
9.1,HIGH
7.75,AVERAGE
5.5,AVERAGE
4.42,LOW
3.25,AVERAGE
8.92,AVERAGE
5.5,AVERAGE
6.67,AVERAGE
10,HIGH
10,HIGH
4.42,AVERAGE
3.61,AVERAGE
10,HIGH
6.67,AVERAGE
5.5,AVERAGE
4.6,AVERAGE
6.67,AVERAGE
6.67,AVERAGE
7.75,AVERAGE
7.75,HIGH
7.75,AVERAGE
10,HIGH
8.2,HIGH
3.25,LOW
8.92,AVERAGE
5.5,LOW
7.75,HIGH
7.75,AVERAGE
7.75,AVERAGE
6.67,LOW
4.42,LOW
2.17,HIGH
4.42,AVERAGE
3.25,LOW
3.25,LOW
4.42,AVERAGE
4.42,LOW
7.75,AVERAGE
5.5,LOW
4.42,LOW
6.67,AVERAGE
7.75,HIGH
8.92,HIGH
3.25,LOW
4.42,LOW
7.75,AVERAGE
8.92,HIGH
4.42,AVERAGE
7.75,LOW
7.75,HIGH
5.5,HIGH
6.67,LOW
4.42,LOW
7.75,AVERAGE
7.75,HIGH
6.67,AVERAGE
10,HIGH
8.92,HIGH
8.92,AVERAGE
8.92,AVERAGE
5.5,AVERAGE
3.25,LOW
4.42,LOW
6.67,AVERAGE
4.42,LOW
4.42,LOW
